['3', 'Democratic', 'Liberal', 'White', 'Female', 'Catholic', '50000-74999', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['43', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '150000+', 'H.S. diploma or less', '45-64', 'West', 'Disapprove', 'Obama'], Obama
['44', 'Independent', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'College', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['45', 'Democratic', 'Moderate', 'Other', 'Female', 'Protestant', '150000+', 'College', '18-29', 'West', 'Approve', 'Obama'], Obama
['46', 'Republican', 'Conservative', 'Other', 'Female', 'Protestant', '30000-49999', 'College', '45-64', 'West', 'Approve', 'McCain'], McCain
['47', 'Democratic', 'Moderate', 'Black', 'Male', 'Protestant', '30000-49999', 'Post-Grad', '30-44', 'Midwest', 'Approve', 'Obama'], Obama
['48', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', '30000-49999', 'Post-Grad', '30-44', 'Northeast', 'Approve', 'Obama'], Obama
['49', 'Independent', 'Liberal', 'Black', 'Male', 'Catholic', '100000-149999', 'College', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['50', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', '50000-74999', 'Post-Grad', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['51', 'Democratic', 'Moderate', 'Other', 'Male', 'Catholic', '100000-149999', 'College', '18-29', 'Midwest', 'Disapprove', 'Obama'], Obama
['52', 'Republican', 'Moderate', 'Black', 'Male', 'Catholic', '100000-149999', 'College', '30-44', 'South', 'Approve', 'Obama'], Obama
['53', 'Independent', 'Moderate', 'White', 'Female', 'Other', '100000-149999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['54', 'Republican', 'Conservative', 'White', 'Female', 'Other', '30000-49999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['55', 'Independent', 'Liberal', 'White', 'Female', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['56', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '30000-49999', 'Post-Grad', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['57', 'Independent', 'Moderate', 'White', 'Male', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['58', 'Independent', 'Liberal', 'Other', 'Female', 'Catholic', '50000-74999', 'College', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['59', 'Republican', 'Moderate', 'Black', 'Female', 'Protestant', '100000-149999', 'H.S. diploma or less', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['60', 'Republican', 'Moderate', 'White', 'Male', 'Protestant', '50000-74999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['61', 'Republican', 'Conservative', 'Black', 'Female', 'Catholic', '50000-74999', 'H.S. diploma or less', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['62', 'Independent', 'Moderate', 'White', 'Male', 'Protestant', '50000-74999', 'Post-Grad', '30-44', 'South', 'Approve', 'Obama'], Obama
['63', 'Independent', 'Conservative', 'White', 'Female', 'Catholic', '75000-99999', 'College', '45-64', 'Midwest', 'Approve', 'McCain'], McCain
['64', 'Democratic', 'Liberal', 'White', 'Male', 'Other', 'Less than 30000', 'College', '30-44', 'South', 'Approve', 'Obama'], Obama
['65', 'Republican', 'Liberal', 'White', 'Male', 'Other', 'Less than 30000', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['66', 'Democratic', 'Moderate', 'White', 'Female', 'Other', '30000-49999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['67', 'Democratic', 'Liberal', 'White', 'Male', 'Other', 'Less than 30000', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['68', 'Independent', 'Moderate', 'White', 'Female', 'Other', '30000-49999', 'Post-Grad', '30-44', 'Northeast', 'Approve', 'Obama'], Obama
['69', 'Democratic', 'Moderate', 'White', 'Male', 'Protestant', '30000-49999', 'H.S. diploma or less', '65+', 'Northeast', 'Approve', 'Obama'], Obama
['70', 'Republican', 'Liberal', 'White', 'Female', 'Protestant', '30000-49999', 'Post-Grad', '18-29', 'South', 'Disapprove', 'Obama'], Obama
['71', 'Democratic', 'Liberal', 'White', 'Male', 'Protestant', '50000-74999', 'College', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['72', 'Independent', 'Moderate', 'Other', 'Male', 'Catholic', '150000+', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['73', 'Independent', 'Moderate', 'White', 'Female', 'Protestant', '100000-149999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['74', 'Republican', 'Moderate', 'White', 'Male', 'Other', '30000-49999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['75', 'Democratic', 'Liberal', 'White', 'Female', 'Other', '100000-149999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['76', 'Republican', 'Moderate', 'White', 'Female', 'Other', '30000-49999', 'Post-Grad', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['77', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['78', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'College', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['79', 'Independent', 'Conservative', 'White', 'Female', 'Protestant', '100000-149999', 'College', '65+', 'Northeast', 'Approve', 'McCain'], McCain
['80', 'Democratic', 'Conservative', 'White', 'Female', 'Protestant', 'Less than 30000', 'College', '18-29', 'Midwest', 'Disapprove', 'Obama'], Obama
['81', 'Republican', 'Moderate', 'White', 'Female', 'Protestant', '50000-74999', 'H.S. diploma or less', '18-29', 'West', 'Approve', 'Obama'], Obama
['82', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '75000-99999', 'H.S. diploma or less', '18-29', 'Northeast', 'Approve', 'Obama'], Obama
['83', 'Republican', 'Conservative', 'White', 'Male', 'Protestant', '50000-74999', 'H.S. diploma or less', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['84', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '150000+', 'H.S. diploma or less', '30-44', 'South', 'Approve', 'Obama'], Obama
['85', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '150000+', 'College', '45-64', 'Midwest', 'Approve', 'McCain'], McCain
['86', 'Democratic', 'Liberal', 'Black', 'Male', 'Catholic', '30000-49999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['87', 'Independent', 'Liberal', 'White', 'Male', 'Protestant', '150000+', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['88', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', '30000-49999', 'Post-Grad', '18-29', 'Midwest', 'Disapprove', 'Obama'], Obama
['89', 'Republican', 'Conservative', 'White', 'Female', 'Catholic', '50000-74999', 'Post-Grad', '30-44', 'Northeast', 'Disapprove', 'Obama'], Obama
['90', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', '30000-49999', 'Post-Grad', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['91', 'Independent', 'Liberal', 'White', 'Female', 'Other', '100000-149999', 'Post-Grad', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['92', 'Democratic', 'Conservative', 'White', 'Female', 'Protestant', '50000-74999', 'College', '65+', 'Midwest', 'Disapprove', 'McCain'], McCain
['93', 'Republican', 'Conservative', 'Other', 'Female', 'Protestant', '100000-149999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['94', 'Independent', 'Liberal', 'Other', 'Female', 'Protestant', '100000-149999', 'College', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['95', 'Republican', 'Conservative', 'Black', 'Female', 'Catholic', 'Less than 30000', 'Post-Grad', '30-44', 'Northeast', 'Approve', 'Obama'], Obama
['96', 'Independent', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'H.S. diploma or less', '30-44', 'Northeast', 'Disapprove', 'Obama'], Obama
['97', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '150000+', 'College', '30-44', 'Midwest', 'Approve', 'Obama'], Obama
['98', 'Independent', 'Moderate', 'White', 'Male', 'Other', '30000-49999', 'Post-Grad', '65+', 'Northeast', 'Approve', 'Obama'], Obama
['99', 'Democratic', 'Moderate', 'Black', 'Male', 'Protestant', 'Less than 30000', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['100', 'Independent', 'Moderate', 'Black', 'Female', 'Other', 'Less than 30000', 'H.S. diploma or less', '65+', 'South', 'Disapprove', 'Obama'], Obama
['101', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', '50000-74999', 'College', '45-64', 'South', 'Approve', 'Obama'], Obama
['102', 'Independent', 'Liberal', 'White', 'Female', 'Protestant', '30000-49999', 'College', '65+', 'South', 'Approve', 'Obama'], Obama
Total classified: 100
Total correct: 100
Total incorrect: 0
Accuracy: 1.0
Error rate: 0.0
['103', 'Republican', 'Moderate', 'White', 'Female', 'Protestant', '75000-99999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['104', 'Independent', 'Liberal', 'White', 'Male', 'Protestant', '75000-99999', 'College', '18-29', 'West', 'Approve', 'Obama'], Obama
['105', 'Republican', 'Moderate', 'White', 'Female', 'Protestant', '75000-99999', 'College', '45-64', 'Northeast', 'Disapprove', 'McCain'], Obama
['106', 'Democratic', 'Moderate', 'Other', 'Female', 'Protestant', 'Less than 30000', 'College', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['107', 'Independent', 'Moderate', 'Black', 'Female', 'Protestant', '100000-149999', 'College', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['108', 'Republican', 'Conservative', 'Other', 'Male', 'Protestant', 'Less than 30000', 'Post-Grad', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['109', 'Democratic', 'Conservative', 'Black', 'Male', 'Protestant', 'Less than 30000', 'Post-Grad', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['110', 'Republican', 'Conservative', 'Black', 'Male', 'Protestant', '30000-49999', 'Post-Grad', '45-64', 'West', 'Disapprove', 'Obama'], Obama
['111', 'Independent', 'Liberal', 'White', 'Male', 'Catholic', '75000-99999', 'College', '65+', 'West', 'Disapprove', 'Obama'], McCain
['112', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', '30000-49999', 'H.S. diploma or less', '65+', 'West', 'Disapprove', 'Obama'], Obama
['113', 'Independent', 'Moderate', 'White', 'Male', 'Catholic', '75000-99999', 'College', '65+', 'South', 'Disapprove', 'McCain'], McCain
['114', 'Republican', 'Conservative', 'White', 'Female', 'Catholic', '75000-99999', 'College', '65+', 'Northeast', 'Disapprove', 'McCain'], McCain
['115', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '75000-99999', 'College', '30-44', 'Northeast', 'Approve', 'Obama'], Obama
['116', 'Republican', 'Conservative', 'White', 'Female', 'Other', 'Less than 30000', 'Post-Grad', '30-44', 'South', 'Approve', 'Obama'], Obama
['117', 'Democratic', 'Liberal', 'Black', 'Male', 'Protestant', '100000-149999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['118', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', 'Less than 30000', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['119', 'Democratic', 'Conservative', 'White', 'Male', 'Protestant', '100000-149999', 'Post-Grad', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['120', 'Republican', 'Liberal', 'Other', 'Male', 'Catholic', '50000-74999', 'College', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['121', 'Democratic', 'Moderate', 'Other', 'Male', 'Catholic', 'Less than 30000', 'College', '18-29', 'West', 'Disapprove', 'Obama'], Obama
['122', 'Republican', 'Moderate', 'Black', 'Female', 'Protestant', 'Less than 30000', 'College', '45-64', 'West', 'Disapprove', 'Obama'], Obama
['123', 'Independent', 'Conservative', 'Black', 'Female', 'Other', '50000-74999', 'College', '18-29', 'West', 'Disapprove', 'Obama'], Obama
['124', 'Democratic', 'Moderate', 'White', 'Female', 'Other', '50000-74999', 'H.S. diploma or less', '18-29', 'West', 'Disapprove', 'Obama'], Obama
['125', 'Republican', 'Conservative', 'White', 'Male', 'Other', '50000-74999', 'College', '18-29', 'South', 'Disapprove', 'Obama'], Obama
['126', 'Democratic', 'Liberal', 'White', 'Female', 'Protestant', '150000+', 'College', '30-44', 'South', 'Approve', 'Obama'], Obama
['127', 'Republican', 'Liberal', 'White', 'Male', 'Catholic', '150000+', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['128', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', '150000+', 'Post-Grad', '30-44', 'South', 'Approve', 'Obama'], Obama
['129', 'Republican', 'Liberal', 'Black', 'Male', 'Catholic', '100000-149999', 'Post-Grad', '45-64', 'South', 'Approve', 'Obama'], Obama
['130', 'Democratic', 'Moderate', 'White', 'Male', 'Other', '30000-49999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['131', 'Republican', 'Conservative', 'White', 'Female', 'Other', '150000+', 'Post-Grad', '45-64', 'Midwest', 'Disapprove', 'McCain'], McCain
['132', 'Democratic', 'Liberal', 'White', 'Female', 'Other', 'Less than 30000', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['133', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '50000-74999', 'College', '45-64', 'Northeast', 'Approve', 'Obama'], Obama
['134', 'Independent', 'Liberal', 'White', 'Female', 'Protestant', '50000-74999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['135', 'Independent', 'Conservative', 'White', 'Female', 'Protestant', '50000-74999', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['136', 'Democratic', 'Liberal', 'Black', 'Female', 'Protestant', '50000-74999', 'College', '18-29', 'West', 'Approve', 'Obama'], Obama
['137', 'Independent', 'Moderate', 'White', 'Female', 'Catholic', '50000-74999', 'Post-Grad', '30-44', 'West', 'Disapprove', 'Obama'], Obama
['138', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'Post-Grad', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['139', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '75000-99999', 'Post-Grad', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['140', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['141', 'Republican', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'Post-Grad', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['142', 'Democratic', 'Liberal', 'White', 'Male', 'Protestant', 'Less than 30000', 'College', '65+', 'South', 'Disapprove', 'Obama'], Obama
['143', 'Republican', 'Moderate', 'White', 'Male', 'Protestant', '30000-49999', 'H.S. diploma or less', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['144', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', '30000-49999', 'H.S. diploma or less', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['145', 'Independent', 'Moderate', 'Other', 'Female', 'Catholic', '50000-74999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['146', 'Independent', 'Conservative', 'White', 'Male', 'Catholic', '100000-149999', 'College', '65+', 'Northeast', 'Approve', 'McCain'], McCain
['147', 'Republican', 'Moderate', 'Black', 'Female', 'Protestant', '50000-74999', 'College', '30-44', 'Northeast', 'Disapprove', 'Obama'], Obama
['148', 'Democratic', 'Conservative', 'White', 'Female', 'Catholic', '100000-149999', 'College', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['149', 'Republican', 'Conservative', 'White', 'Male', 'Other', '100000-149999', 'College', '45-64', 'South', 'Approve', 'McCain'], McCain
['150', 'Independent', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'H.S. diploma or less', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['151', 'Democratic', 'Liberal', 'White', 'Female', 'Protestant', '30000-49999', 'H.S. diploma or less', '30-44', 'South', 'Approve', 'Obama'], Obama
['152', 'Independent', 'Moderate', 'White', 'Male', 'Protestant', '75000-99999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['153', 'Republican', 'Moderate', 'White', 'Female', 'Catholic', 'Less than 30000', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['154', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', 'Less than 30000', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['155', 'Republican', 'Liberal', 'White', 'Male', 'Catholic', '30000-49999', 'College', '65+', 'Northeast', 'Disapprove', 'Obama'], Obama
['156', 'Democratic', 'Conservative', 'Other', 'Female', 'Other', '30000-49999', 'Post-Grad', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['157', 'Republican', 'Liberal', 'Black', 'Male', 'Other', '30000-49999', 'College', '65+', 'West', 'Disapprove', 'Obama'], Obama
['158', 'Independent', 'Liberal', 'Black', 'Female', 'Other', '50000-74999', 'H.S. diploma or less', '65+', 'West', 'Disapprove', 'Obama'], Obama
['159', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', '100000-149999', 'Post-Grad', '65+', 'West', 'Disapprove', 'Obama'], Obama
['160', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', '100000-149999', 'Post-Grad', '30-44', 'South', 'Approve', 'Obama'], Obama
['161', 'Democratic', 'Conservative', 'White', 'Male', 'Protestant', '100000-149999', 'College', '30-44', 'Northeast', 'Approve', 'Obama'], Obama
['162', 'Republican', 'Moderate', 'White', 'Male', 'Catholic', '100000-149999', 'College', '45-64', 'South', 'Disapprove', 'McCain'], McCain
['163', 'Independent', 'Conservative', 'Other', 'Male', 'Other', '30000-49999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['164', 'Democratic', 'Liberal', 'White', 'Female', 'Protestant', '30000-49999', 'H.S. diploma or less', '45-64', 'South', 'Approve', 'Obama'], Obama
['165', 'Democratic', 'Conservative', 'White', 'Male', 'Protestant', '30000-49999', 'College', '18-29', 'Midwest', 'Approve', 'Obama'], Obama
['166', 'Democratic', 'Moderate', 'Other', 'Male', 'Protestant', '30000-49999', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['167', 'Democratic', 'Liberal', 'White', 'Male', 'Catholic', '50000-74999', 'College', '18-29', 'Midwest', 'Disapprove', 'Obama'], Obama
['168', 'Independent', 'Moderate', 'Other', 'Female', 'Catholic', '50000-74999', 'H.S. diploma or less', '30-44', 'Northeast', 'Disapprove', 'Obama'], Obama
['169', 'Independent', 'Moderate', 'Other', 'Female', 'Catholic', '150000+', 'College', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['170', 'Democratic', 'Liberal', 'Black', 'Female', 'Catholic', '100000-149999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['171', 'Republican', 'Conservative', 'White', 'Female', 'Catholic', '30000-49999', 'Post-Grad', '18-29', 'South', 'Disapprove', 'Obama'], Obama
['172', 'Democratic', 'Moderate', 'White', 'Male', 'Protestant', '75000-99999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['173', 'Independent', 'Liberal', 'White', 'Female', 'Other', 'Less than 30000', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['174', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['175', 'Republican', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['176', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Approve', 'Obama'], Obama
['177', 'Independent', 'Moderate', 'Other', 'Female', 'Protestant', '30000-49999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['178', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'H.S. diploma or less', '65+', 'West', 'Disapprove', 'Obama'], Obama
['179', 'Republican', 'Conservative', 'Black', 'Male', 'Catholic', '50000-74999', 'H.S. diploma or less', '45-64', 'West', 'Approve', 'Obama'], Obama
['180', 'Democratic', 'Liberal', 'White', 'Male', 'Protestant', '50000-74999', 'College', '65+', 'West', 'Approve', 'Obama'], Obama
['181', 'Republican', 'Moderate', 'Black', 'Male', 'Protestant', '50000-74999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['182', 'Democratic', 'Moderate', 'White', 'Male', 'Catholic', 'Less than 30000', 'H.S. diploma or less', '65+', 'West', 'Disapprove', 'Obama'], Obama
['183', 'Republican', 'Moderate', 'White', 'Male', 'Protestant', '75000-99999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['184', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', 'Less than 30000', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['185', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', 'Less than 30000', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['186', 'Independent', 'Conservative', 'White', 'Female', 'Protestant', '30000-49999', 'College', '65+', 'South', 'Disapprove', 'McCain'], Obama
['187', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '30000-49999', 'Post-Grad', '45-64', 'South', 'Disapprove', 'Obama'], Obama
